doc_id,title,language,published,source,url
tem_2018_03,"Työllisyyskatsaus, maaliskuu 2018",fi,2018-03-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9257
tem_2018_04,"Työllisyyskatsaus, huhtikuu 2018",fi,2018-04-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9171
tem_2019_01,"Työllisyyskatsaus, tammikuu 2019",fi,2019-01-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9398
tem_2019_02,"Työllisyyskatsaus, helmikuu 2019",fi,2019-02-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9500
tem_2017_03,"Työllisyyskatsaus, maaliskuu 2017",fi,2017-03-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9227
tem_2018_02,"Työllisyyskatsaus, helmikuu 2018",fi,2018-02-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9253
tem_2018_10,"Työllisyyskatsaus, lokakuu 2018",fi,2018-10-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9321
tem_2017_09,"Työllisyyskatsaus, syyskuu 2017",fi,2017-09-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9258
tem_2017_05,"Työllisyyskatsaus, toukokuu 2017",fi,2017-05-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8861
tem_2017_04,"Työllisyyskatsaus, huhtikuu 2017",fi,2017-04-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8981
tem_2017_10,"Työllisyyskatsaus, lokakuu 2017",fi,2017-10-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8982
tem_2017_08,"Työllisyyskatsaus, elokuu 2017",fi,2017-08-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9117
tem_2019_03,"Työllisyyskatsaus, maaliskuu 2019",fi,2019-03-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9402
tem_2018_07,"Työllisyyskatsaus, heinäkuu 2018",fi,2018-07-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9289
tem_2018_08,"Työllisyyskatsaus, elokuu 2018",fi,2018-08-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9396
tem_2019_04,"Työllisyyskatsaus, huhtikuu 2019",fi,2019-04-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9452
tem_2018_06,"Työllisyyskatsaus, kesäkuu 2018",fi,2018-06-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9336
tem_2018_09,"Työllisyyskatsaus, syyskuu 2018",fi,2018-09-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9377
tem_2017_11,"Työllisyyskatsaus, marraskuu 2017",fi,2017-11-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8992
tem_2015_12,"Työllisyyskatsaus, joulukuu 2015",fi,2015-12-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8732
tem_2016_01,"Työllisyyskatsaus, tammikuu 2016",fi,2016-01-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8702
tem_2013_08,Työllisyyskatsaus 8/2013,fi,2013-08-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8100
tem_2013_07,Työllisyyskatsaus 7/2013,fi,2013-07-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8100
tem_2013_02,Työllisyyskatsaus 2/2013,fi,2013-02-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8100
tem_2013_04,Työllisyyskatsaus 4/2013,fi,2013-04-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8100
tem_2013_12,Työllisyyskatsaus 12/2013,fi,2013-12-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8100
tem_2013_06,Työllisyyskatsaus 6/2013,fi,2013-06-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8100
tem_2013_10,Työllisyyskatsaus 10/2013,fi,2013-10-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8100
tem_2013_03,Työllisyyskatsaus 3/2013,fi,2013-03-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8100
tem_2013_11,Työllisyyskatsaus 11/2013,fi,2013-11-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8100
tem_2013_09,Työllisyyskatsaus 9/2013,fi,2013-09-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8100
tem_2013_01,Työllisyyskatsaus 1/2013,fi,2013-01-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8100
tem_2013_05,Työllisyyskatsaus 5/2013,fi,2013-05-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8100
tem_2015_08,Työllisyyskatsaus 8/2015,fi,2015-08-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8111
tem_2015_02,Työllisyyskatsaus 2/2015,fi,2015-02-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8111
tem_2015_04,Työllisyyskatsaus 4/2015,fi,2015-04-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8111
tem_2015_10,Työllisyyskatsaus 10/2015,fi,2015-10-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8111
tem_2015_03,Työllisyyskatsaus 3/2015,fi,2015-03-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8111
tem_2015_11,Työllisyyskatsaus 11/2015,fi,2015-11-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8111
tem_2015_09,Työllisyyskatsaus 9/2015,fi,2015-09-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8111
tem_2015_01,Työllisyyskatsaus 1/2015,fi,2015-01-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8111
tem_2015_05,Työllisyyskatsaus 5/2015,fi,2015-05-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8111
tem_2014_08,Työllisyyskatsaus 8/2014,fi,2014-08-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8110
tem_2014_07,Työllisyyskatsaus 7/2014,fi,2014-07-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8110
tem_2014_02,Työllisyyskatsaus 2/2014,fi,2014-02-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8110
tem_2014_04,Työllisyyskatsaus 4/2014,fi,2014-04-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8110
tem_2014_06,Työllisyyskatsaus 6/2014,fi,2014-06-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8110
tem_2014_03,Työllisyyskatsaus 3/2014,fi,2014-03-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8110
tem_2014_09,Työllisyyskatsaus 9/2014,fi,2014-09-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8110
tem_2014_01,Työllisyyskatsaus 1/2014,fi,2014-01-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8110
tem_2014_12,Työllisyyskatsaus 12/2014,fi,2014-12-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8110
tem_2014_10,Työllisyyskatsaus 10/2014,fi,2014-10-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8110
tem_2014_11,Työllisyyskatsaus 11/2014,fi,2014-11-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8110
tem_2014_05,Työllisyyskatsaus 5/2014,fi,2014-05-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8110
tem_2019_07,"Työllisyyskatsaus, heinäkuu 2019",fi,2019-07-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8844
tem_2020_01,"Työllisyyskatsaus, tammikuu 2020",fi,2020-01-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8766
tem_2019_12,"Työllisyyskatsaus, joulukuu 2019",fi,2019-12-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9110
tem_2019_09,"Työllisyyskatsaus, syyskuu 2019",fi,2019-09-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8727
tem_2019_10,"Työllisyyskatsaus, lokakuu 2019",fi,2019-10-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8875
tem_2019_08,"Työllisyyskatsaus, elokuu 2019",fi,2019-08-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8969
tem_2019_06,"Työllisyyskatsaus, kesäkuu 2019",fi,2019-06-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9408
tem_2019_05,"Työllisyyskatsaus, toukokuu 2019",fi,2019-05-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9454
tem_2019_11,"Työllisyyskatsaus, marraskuu 2019",fi,2019-11-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9025
tem_2016_05,"Työllisyyskatsaus, toukokuu 2016",fi,2016-05-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8664
tem_2016_08,"Työllisyyskatsaus, elokuu 2016",fi,2016-08-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8911
tem_2016_07,"Työllisyyskatsaus, heinäkuu 2016",fi,2016-07-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8930
tem_2016_06,"Työllisyyskatsaus, kesäkuu 2016",fi,2016-06-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8719
tem_2016_02,"Työllisyyskatsaus, helmikuu 2016",fi,2016-02-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8696
tem_2017_02,"Työllisyyskatsaus, helmikuu 2017",fi,2017-02-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8943
tem_2016_10,"Työllisyyskatsaus, lokakuu 2016",fi,2016-10-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8977
tem_2016_11,"Työllisyyskatsaus, marraskuu 2016",fi,2016-11-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8864
tem_2016_09,"Työllisyyskatsaus, syyskuu 2016",fi,2016-09-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8771
tem_2017_01,"Työllisyyskatsaus, tammikuu 2017",fi,2017-01-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8699
tem_2016_12,"Työllisyyskatsaus, joulukuu 2016",fi,2016-12-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8650
tem_2016_03,"Työllisyyskatsaus, maaliskuu 2016",fi,2016-03-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8663
tem_2016_04,"Työllisyyskatsaus, huhtikuu 2016",fi,2016-04-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8773
tem_2022_05,"Työllisyyskatsaus, toukokuu 2022",fi,2022-05-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8000
tem_2022_03,"Työllisyyskatsaus, maaliskuu 2022",fi,2022-03-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8213
tem_2020_12,"Työllisyyskatsaus, joulukuu 2020",fi,2020-12-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/7987
tem_2022_01,"Työllisyyskatsaus, tammikuu 2022",fi,2022-01-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8189
tem_2021_08,"Työllisyyskatsaus, elokuu 2021",fi,2021-08-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8106
tem_2021_01,"Työllisyyskatsaus, tammikuu 2021",fi,2021-01-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8025
tem_2022_07,"Työllisyyskatsaus, heinäkuu 2022",fi,2022-07-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8001
tem_2020_04,"Työllisyyskatsaus, huhtikuu 2020",fi,2020-04-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/9124
tem_2022_04,"Työllisyyskatsaus, huhtikuu 2022",fi,2022-04-28,tem,https://julkaisut.valtioneuvosto.fi/handle/11111/8239
