table_id,series_family,role,series_id,dimensions_json,forecast_scope,measure_code,is_forecast_target,is_auxiliary_feature,duplicate_group,authoritative_source,n_periods,n_non_null,coverage_ratio,zero_fraction,variance,time_first,time_last,selected,selection_reason
12r5,KEHA_geography,excluded_duplicate,12r5::Alue=MK11|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""MK11"", ""contentscode"": ""AVPAIKATLOPUSSA""}",province,AVPAIKATLOPUSSA,False,False,KEHA_province_end_month::MK11,12tw,70,70,1.0,0.0,1239494.0906122453,2009Q1,2026Q2,False,duplicate_of_12tw_province_total
12r5,KEHA_geography,excluded_duplicate,12r5::Alue=MK12|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""MK12"", ""contentscode"": ""AVPAIKATLOPUSSA""}",province,AVPAIKATLOPUSSA,False,False,KEHA_province_end_month::MK12,12tw,70,70,1.0,0.0,273017.92836734693,2009Q1,2026Q2,False,duplicate_of_12tw_province_total
12r5,KEHA_geography,excluded_duplicate,12r5::Alue=MK13|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""MK13"", ""contentscode"": ""AVPAIKATLOPUSSA""}",province,AVPAIKATLOPUSSA,False,False,KEHA_province_end_month::MK13,12tw,70,70,1.0,0.0,738616.4410204082,2009Q1,2026Q2,False,duplicate_of_12tw_province_total
12r5,KEHA_geography,excluded_duplicate,12r5::Alue=MK14|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""MK14"", ""contentscode"": ""AVPAIKATLOPUSSA""}",province,AVPAIKATLOPUSSA,False,False,KEHA_province_end_month::MK14,12tw,70,70,1.0,0.0,1130274.2620408165,2009Q1,2026Q2,False,duplicate_of_12tw_province_total
12r5,KEHA_geography,excluded_duplicate,12r5::Alue=MK15|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""MK15"", ""contentscode"": ""AVPAIKATLOPUSSA""}",province,AVPAIKATLOPUSSA,False,False,KEHA_province_end_month::MK15,12tw,70,70,1.0,0.0,1026020.1755102038,2009Q1,2026Q2,False,duplicate_of_12tw_province_total
12r5,KEHA_geography,excluded_duplicate,12r5::Alue=MK16|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""MK16"", ""contentscode"": ""AVPAIKATLOPUSSA""}",province,AVPAIKATLOPUSSA,False,False,KEHA_province_end_month::MK16,12tw,70,70,1.0,0.0,229780.68673469388,2009Q1,2026Q2,False,duplicate_of_12tw_province_total
12r5,KEHA_geography,excluded_duplicate,12r5::Alue=MK17|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""MK17"", ""contentscode"": ""AVPAIKATLOPUSSA""}",province,AVPAIKATLOPUSSA,False,False,KEHA_province_end_month::MK17,12tw,70,70,1.0,0.0,3577331.226326531,2009Q1,2026Q2,False,duplicate_of_12tw_province_total
12r5,KEHA_geography,excluded_duplicate,12r5::Alue=MK18|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""MK18"", ""contentscode"": ""AVPAIKATLOPUSSA""}",province,AVPAIKATLOPUSSA,False,False,KEHA_province_end_month::MK18,12tw,70,70,1.0,0.0,117253.45632653059,2009Q1,2026Q2,False,duplicate_of_12tw_province_total
12r5,KEHA_geography,excluded_duplicate,12r5::Alue=MK19|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""MK19"", ""contentscode"": ""AVPAIKATLOPUSSA""}",province,AVPAIKATLOPUSSA,False,False,KEHA_province_end_month::MK19,12tw,70,70,1.0,0.0,1564891.8410204083,2009Q1,2026Q2,False,duplicate_of_12tw_province_total
12r5,KEHA_geography,excluded_duplicate,12r5::Alue=MK21|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""MK21"", ""contentscode"": ""AVPAIKATLOPUSSA""}",province,AVPAIKATLOPUSSA,False,False,KEHA_province_end_month::MK21,12tw,70,70,1.0,0.0,14887.375510204081,2009Q1,2026Q2,False,duplicate_of_12tw_province_total
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY01|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""ELY01"", ""contentscode"": ""AVPAIKATLOPUSSA""}",ely_region,AVPAIKATLOPUSSA,False,True,,12r5,70,70,1.0,0.0,38532885.638571426,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY01|contentscode=UUDETAVP,"{""Alue"": ""ELY01"", ""contentscode"": ""UUDETAVP""}",ely_region,UUDETAVP,False,True,,12r5,70,70,1.0,0.0,58082195.57632653,2009Q1,2026Q2,True,accepted
12r5,KEHA_geography,geographic_target,12r5::Alue=ELY02|contentscode=AVPAIKATLOPUSSA,"{""Alue"": ""ELY02"", ""contentscode"": ""AVPAIKATLOPUSSA""}",ely_region,AVPAIKATLOPUSSA,False,True,,12r5,70,70,1.0,0.0,4493323.277755101,2009Q1,2026Q2,True,accepted
