table_id,Alue,timeperiod_m,contentscode,timeperiod_q,Alue_text,timeperiod_m_text,contentscode_text,value,value_str,source,updated,agg_source_months
12r5,SSS,,AVPAIKATLOPUSSA,2013Q1,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),49194,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2013M03
12r5,SSS,,UUDETAVP,2013Q1,WHOLE COUNTRY,,New vacancies during the month (number),48682,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2013M03
12r5,SSS,,AVPAIKATLOPUSSA,2013Q2,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),23874,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2013M06
12r5,SSS,,UUDETAVP,2013Q2,WHOLE COUNTRY,,New vacancies during the month (number),29993,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2013M06
12r5,SSS,,AVPAIKATLOPUSSA,2013Q3,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),26755,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2013M09
12r5,SSS,,UUDETAVP,2013Q3,WHOLE COUNTRY,,New vacancies during the month (number),34743,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2013M09
12r5,SSS,,AVPAIKATLOPUSSA,2013Q4,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),23752,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2013M12
12r5,SSS,,UUDETAVP,2013Q4,WHOLE COUNTRY,,New vacancies during the month (number),27464,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2013M12
12r5,SSS,,AVPAIKATLOPUSSA,2014Q1,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),47771,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2014M03
12r5,SSS,,UUDETAVP,2014Q1,WHOLE COUNTRY,,New vacancies during the month (number),46527,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2014M03
12r5,SSS,,AVPAIKATLOPUSSA,2014Q2,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),25737,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2014M06
12r5,SSS,,UUDETAVP,2014Q2,WHOLE COUNTRY,,New vacancies during the month (number),31629,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2014M06
12r5,SSS,,AVPAIKATLOPUSSA,2014Q3,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),28317,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2014M09
12r5,SSS,,UUDETAVP,2014Q3,WHOLE COUNTRY,,New vacancies during the month (number),38115,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2014M09
12r5,SSS,,AVPAIKATLOPUSSA,2014Q4,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),24724,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2014M12
12r5,SSS,,UUDETAVP,2014Q4,WHOLE COUNTRY,,New vacancies during the month (number),29804,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2014M12
12r5,SSS,,AVPAIKATLOPUSSA,2015Q1,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),46947,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2015M03
12r5,SSS,,UUDETAVP,2015Q1,WHOLE COUNTRY,,New vacancies during the month (number),52496,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2015M03
12r5,SSS,,AVPAIKATLOPUSSA,2015Q2,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),27402,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2015M06
12r5,SSS,,UUDETAVP,2015Q2,WHOLE COUNTRY,,New vacancies during the month (number),33966,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2015M06
12r5,SSS,,AVPAIKATLOPUSSA,2015Q3,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),28527,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2015M09
12r5,SSS,,UUDETAVP,2015Q3,WHOLE COUNTRY,,New vacancies during the month (number),37690,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2015M09
12r5,SSS,,AVPAIKATLOPUSSA,2015Q4,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),28071,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2015M12
12r5,SSS,,UUDETAVP,2015Q4,WHOLE COUNTRY,,New vacancies during the month (number),35426,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2015M12
12r5,SSS,,AVPAIKATLOPUSSA,2016Q1,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),47397,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2016M03
12r5,SSS,,UUDETAVP,2016Q1,WHOLE COUNTRY,,New vacancies during the month (number),52244,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2016M03
12r5,SSS,,AVPAIKATLOPUSSA,2016Q2,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),31258,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2016M06
12r5,SSS,,UUDETAVP,2016Q2,WHOLE COUNTRY,,New vacancies during the month (number),39186,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2016M06
12r5,SSS,,AVPAIKATLOPUSSA,2016Q3,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),36707,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2016M09
12r5,SSS,,UUDETAVP,2016Q3,WHOLE COUNTRY,,New vacancies during the month (number),46938,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2016M09
12r5,SSS,,AVPAIKATLOPUSSA,2016Q4,WHOLE COUNTRY,,Vacancies on end-of-month calculation date (number),32878,,"KEHA Centre, Employment Service Statistics",2026-08-25T05:00:00Z,2016M12
